game_id,period,time_remaining,team,player,play,away_score,home_score
2026-01-08_washington_michigan_st,1,03:46,Washington,"VANSLOOTEN,GRACE","SUB OUT by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,1,03:46,Washington,"SOTELO,INES","SUB IN by SOTELO,INES",,
2026-01-08_washington_michigan_st,1,03:29,Washington,"SOTELO,INES","MISS 3PTR by SOTELO,INES",,
2026-01-08_washington_michigan_st,1,03:25,Michigan St.,"GRABOVSKAIA,YULIA","REBOUND DEF by GRABOVSKAIA,YULIA",,
2026-01-08_washington_michigan_st,1,03:07,Michigan St.,"LADINE,ELLE","MISS JUMPER by LADINE,ELLE",,
2026-01-08_washington_michigan_st,1,03:03,Michigan St.,"HOWELL,AVERY","REBOUND OFF by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,1,03:02,Michigan St.,"COPPINGER,DEVIN","GOOD 3PTR by COPPINGER,DEVIN",14,20
2026-01-08_washington_michigan_st,1,03:02,Michigan St.,"HOWELL,AVERY","ASSIST by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,1,02:34,Washington,"WOODARD,JULIANN","TURNOVER by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,1,02:34,Washington,"SAMBOLIC,SARA","SUB OUT by SAMBOLIC,SARA",,
2026-01-08_washington_michigan_st,1,02:34,Washington,"WOODARD,JULIANN","SUB OUT by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,1,02:34,Washington,"VANSLOOTEN,GRACE","SUB IN by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,1,02:34,Washington,"BROWN,JALYN","SUB IN by BROWN,JALYN",,
2026-01-08_washington_michigan_st,1,02:26,Michigan St.,"LADINE,ELLE","GOOD 3PTR by LADINE,ELLE",14,23
2026-01-08_washington_michigan_st,1,02:26,Michigan St.,"STINES,HANNAH","ASSIST by STINES,HANNAH",,
2026-01-08_washington_michigan_st,1,01:57,Washington,"VANSLOOTEN,GRACE","TURNOVER by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,1,01:57,Michigan St.,"HOWELL,AVERY","STEAL by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,1,01:35,Michigan St.,"LADINE,ELLE","MISS 3PTR by LADINE,ELLE",,
2026-01-08_washington_michigan_st,1,01:32,Washington,"BLAIR,KENNEDY","REBOUND DEF by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,1,01:26,Washington,"BLAIR,KENNEDY","MISS LAYUP by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,1,01:24,Michigan St.,"HOWELL,AVERY","REBOUND DEF by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,1,01:24,Washington,"VANSLOOTEN,GRACE","FOUL by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,1,01:24,Michigan St.,"LADINE,ELLE","SUB OUT by LADINE,ELLE",,
2026-01-08_washington_michigan_st,1,01:24,Michigan St.,"SELLERS,SAYVIA","SUB IN by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,1,01:24,Washington,"BLAIR,KENNEDY","SUB OUT by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,1,01:24,Washington,"SAMBOLIC,SARA","SUB IN by SAMBOLIC,SARA",,
2026-01-08_washington_michigan_st,1,01:01,Michigan St.,"SELLERS,SAYVIA","MISS 3PTR by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,1,00:56,Washington,"VANSLOOTEN,GRACE","REBOUND DEF by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,1,00:46,Washington,"SAMBOLIC,SARA","MISS LAYUP by SAMBOLIC,SARA",,
2026-01-08_washington_michigan_st,1,00:46,Michigan St.,"STINES,HANNAH","BLOCK by STINES,HANNAH",,
2026-01-08_washington_michigan_st,1,00:42,Michigan St.,"STINES,HANNAH","REBOUND DEF by STINES,HANNAH",,
2026-01-08_washington_michigan_st,1,00:40,Washington,"BROWN,JALYN","FOUL by BROWN,JALYN",,
2026-01-08_washington_michigan_st,1,00:40,Michigan St.,"GRABOVSKAIA,YULIA","SUB OUT by GRABOVSKAIA,YULIA",,
2026-01-08_washington_michigan_st,1,00:40,Michigan St.,"MCGAUGHY,BRYNN","SUB IN by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,1,00:40,Washington,"SOTELO,INES","SUB OUT by SOTELO,INES",,
2026-01-08_washington_michigan_st,1,00:40,Washington,"WOODARD,JULIANN","SUB IN by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,1,00:40,Michigan St.,"SELLERS,SAYVIA","SUB OUT by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,1,00:40,Michigan St.,"HARVEY,SIENNA","SUB IN by HARVEY,SIENNA",,
2026-01-08_washington_michigan_st,1,00:40,Michigan St.,"HOWELL,AVERY","GOOD FT by HOWELL,AVERY",14,24
2026-01-08_washington_michigan_st,1,00:40,Michigan St.,"HOWELL,AVERY","GOOD FT by HOWELL,AVERY",14,25
